<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,19,12,C MALVAL,08/10/2024,14:04:43,946,clermont Ligne 3 passage 5,M         ,63L3P5
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
70,0.51,16.01,31.0,14.7,,0.00,?,?,?,?,?,?,7.918,
71,0.53,14.75,31.0,14.7,,0.00,?,?,?,?,?,?,8.078,
72,0.57,14.87,31.0,14.7,,0.00,?,?,?,?,?,?,8.078,
73,0.55,14.39,31.0,14.0,,0.00,?,?,?,?,?,?,8.230,
74,0.56,14.28,31.0,14.0,,0.00,?,?,?,?,?,?,8.385,
75,0.56,16.17,31.0,14.0,,0.00,?,?,?,?,?,?,8.385,
76,0.55,16.26,31.5,14.0,,0.00,?,?,?,?,?,?,8.548,
77,0.66,9.10,32.0,12.2,,0.00,?,?,?,?,?,?,8.700,
78,0.55,27.75,31.0,12.2,,0.00,?,?,?,?,?,?,8.865,
79,0.57,15.08,31.0,12.2,,0.00,?,?,?,?,?,?,8.865,
80,0.63,0.61,31.0,12.2,,0.00,?,?,?,?,?,?,9.027,
81,0.94,5.97,31.3,12.2,,0.00,?,?,?,?,?,?,9.178,
82,0.53,28.73,31.0,12.2,,0.00,?,?,?,?,?,?,9.178,
83,0.44,18.31,31.0,12.9,,0.00,?,?,?,?,?,?,9.342,
84,0.63,6.47,31.0,12.9,,0.00,?,?,?,?,?,?,9.509,
85,0.59,18.51,31.0,12.9,,0.00,?,?,?,?,?,?,9.509,
86,0.54,16.32,31.0,12.0,,0.00,?,?,?,?,?,?,9.670,
87,0.65,10.44,31.0,12.0,,0.00,?,?,?,?,?,?,9.824,
88,0.51,18.71,31.0,12.0,,0.00,?,?,?,?,?,?,9.984,
89,0.52,10.83,31.0,12.0,,0.00,?,?,?,?,?,?,9.984,
90,0.54,17.08,31.0,12.0,,0.00,?,?,?,?,?,?,10.135,
91,0.49,15.16,31.0,12.0,,0.00,?,?,?,?,?,?,10.289,
92,0.55,14.69,31.0,12.0,,0.00,?,?,?,?,?,?,10.451,
93,0.54,14.99,31.0,12.0,,0.00,?,?,?,?,?,?,10.451,
94,0.54,14.15,31.0,12.0,,0.00,?,?,?,?,?,?,10.605,
95,0.52,15.09,31.0,10.9,,0.00,?,?,?,?,?,?,10.767,
96,0.53,14.47,31.0,10.9,,0.00,?,?,?,?,?,?,10.934,
97,0.52,14.94,31.0,10.9,,0.00,?,?,?,?,?,?,10.934,
98,0.53,15.01,31.0,10.9,,0.00,?,?,?,?,?,?,11.097,
99,0.53,15.77,31.0,10.9,,0.00,?,?,?,?,?,?,11.097,
100,0.52,15.29,31.0,10.5,,0.00,?,?,?,?,?,?,11.263,
101,0.53,15.21,31.0,10.5,,0.00,?,?,?,?,?,?,11.419,
102,0.51,15.32,31.0,10.5,,0.00,?,?,?,?,?,?,11.583,
103,0.52,14.21,31.0,10.5,,0.00,?,?,?,?,?,?,11.583,
104,0.56,14.57,31.0,10.5,,0.00,?,?,?,?,?,?,11.735,
105,0.55,15.31,31.0,9.9,,0.00,?,?,?,?,?,?,11.902,
106,0.52,14.47,31.0,9.9,,0.00,?,?,?,?,?,?,11.902,
107,0.53,14.65,31.0,9.9,,0.00,?,?,?,?,?,?,12.054,
108,0.53,14.31,31.0,9.9,,0.00,?,?,?,?,?,?,12.214,
109,0.52,15.01,31.0,9.0,,0.00,?,?,?,?,?,?,12.371,
