<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,19,12,C MALVAL,08/10/2024,14:11:13,949,Clermont 63 Ligne 3 passage 6,M         ,63L3P6
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.74,18.31,30.5,5.1,,0.00,?,?,?,?,?,?,0.099,
2,0.82,1.12,31.0,5.1,,0.00,?,?,?,?,?,?,0.099,
3,0.63,0.07,31.0,5.4,,0.00,?,?,?,?,?,?,0.262,
4,1.20,0.31,31.0,5.4,,0.00,?,?,?,?,?,?,0.422,
5,1.17,2.59,33.5,5.4,,0.00,?,?,?,?,?,?,0.422,
6,0.71,27.74,34.3,5.4,,0.00,?,?,?,?,?,?,0.588,
7,0.60,27.34,31.0,5.5,,0.00,?,?,?,?,?,?,0.752,
8,0.85,7.80,31.5,5.5,,0.00,?,?,?,?,?,?,0.752,
9,1.12,6.91,31.3,5.5,,0.00,?,?,?,?,?,?,0.905,
10,0.79,25.01,31.0,5.5,,0.00,?,?,?,?,?,?,1.069,
11,0.70,13.64,31.3,5.5,,0.00,?,?,?,?,?,?,1.069,
12,0.99,5.97,32.0,17.7,,0.00,?,?,?,?,?,?,1.221,
13,0.68,22.38,31.0,17.7,,0.00,?,?,?,?,?,?,1.372,
14,0.59,13.42,32.0,17.7,,0.00,?,?,?,?,?,?,1.536,
15,0.87,10.81,31.7,17.7,,0.00,?,?,?,?,?,?,1.536,
16,0.76,18.56,31.5,17.7,,0.00,?,?,?,?,?,?,1.687,
17,0.75,13.82,31.7,33.4,,0.00,?,?,?,?,?,?,1.841,
18,0.80,13.81,32.0,33.4,,0.00,?,?,?,?,?,?,1.841,
19,0.77,18.22,31.7,33.4,,0.00,?,?,?,?,?,?,2.004,
20,0.84,10.59,32.0,33.4,,0.00,?,?,?,?,?,?,2.156,
21,0.84,17.26,31.7,38.7,,0.00,?,?,?,?,?,?,2.309,
22,0.72,15.28,32.0,38.7,,0.00,?,?,?,?,?,?,2.309,
23,0.83,12.88,32.0,38.7,,0.00,?,?,?,?,?,?,2.467,
24,0.75,19.88,32.0,38.7,,0.00,?,?,?,?,?,?,2.632,
25,0.85,10.38,32.0,41.8,,0.00,?,?,?,?,?,?,2.794,
26,0.82,19.54,32.0,41.8,,0.00,?,?,?,?,?,?,2.794,
27,0.75,14.00,32.0,41.8,,0.00,?,?,?,?,?,?,2.952,
28,0.86,14.25,32.0,41.8,,0.00,?,?,?,?,?,?,3.117,
29,0.77,17.47,31.7,41.8,,0.00,?,?,?,?,?,?,3.117,
