<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,High Speed,50,0 ;25,,Pluie,18,12,C Malval,08/10/2024,12:16:34,1008,Clermont 63 ligne 3 passage 3,M         ,63L3P3
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
1,1,Single Carriageway,Continuous,0,Event,0 ;45,Single Carriageway
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.70,15.94,31.5,2.7,,0.00,?,?,?,?,?,?,0.134,
2,0.73,12.45,31.3,2.7,,0.00,?,?,?,?,?,?,0.292,
3,0.66,19.24,31.0,2.7,,0.00,?,?,?,?,?,?,0.292,
4,0.63,16.76,31.3,2.7,,0.00,?,?,?,?,?,?,0.448,
5,0.63,16.36,32.0,2.7,,0.00,?,?,?,?,?,?,0.613,
6,0.59,18.76,31.0,2.7,,0.00,?,?,?,?,?,?,0.764,
7,0.61,12.64,31.0,2.7,,0.00,?,?,?,?,?,?,0.764,
8,0.65,14.47,31.3,2.7,,0.00,?,?,?,?,?,?,0.928,
9,0.61,18.88,31.5,2.7,,0.00,?,?,?,?,?,?,1.090,
10,0.62,14.12,31.7,2.2,,0.00,?,?,?,?,?,?,1.244,
11,0.64,14.45,31.0,2.2,,0.00,?,?,?,?,?,?,1.244,
12,0.63,15.86,31.3,2.2,,0.00,?,?,?,?,?,?,1.408,
13,0.62,14.18,31.0,2.2,,0.00,?,?,?,?,?,?,1.572,
14,0.64,15.27,31.3,2.2,,0.00,?,?,?,?,?,?,1.572,
15,0.59,17.48,31.0,16.4,,0.00,?,?,?,?,?,?,1.736,
16,0.62,13.89,31.3,16.4,,0.00,?,?,?,?,?,?,1.888,
17,0.61,17.51,31.5,16.4,,0.00,?,?,?,?,?,?,1.888,
18,0.59,15.52,31.7,16.4,,0.00,?,?,?,?,?,?,2.054,
19,0.60,14.57,32.0,29.9,,0.00,?,?,?,?,?,?,2.214,
20,0.57,15.45,31.5,29.9,,0.00,?,?,?,?,?,?,2.214,
21,0.60,14.54,31.3,29.9,,0.00,?,?,?,?,?,?,2.375,
22,0.63,16.21,31.5,29.9,,0.00,?,?,?,?,?,?,2.527,
23,0.66,13.92,31.3,29.9,,0.00,?,?,?,?,?,?,2.681,
24,0.68,15.04,31.5,29.9,,0.00,?,?,?,?,?,?,2.682,
25,0.65,17.69,31.7,34.4,,0.00,?,?,?,?,?,?,2.841,
26,0.84,12.84,31.5,34.4,,0.00,?,?,?,?,?,?,3.007,
27,0.74,13.20,31.3,34.4,,0.00,?,?,?,?,?,?,3.007,
28,0.62,14.50,31.5,34.4,,0.00,?,?,?,?,?,?,3.168,
29,0.61,16.74,31.7,30.8,,0.00,?,?,?,?,?,?,3.324,
30,0.58,13.03,31.5,30.8,,0.00,?,?,?,?,?,?,3.324,
31,0.67,14.28,32.0,30.8,,0.00,?,?,?,?,?,?,3.476,
32,0.62,22.08,32.0,30.8,,0.00,?,?,?,?,?,?,3.635,
33,0.78,9.03,32.0,19.9,,0.00,?,?,?,?,?,?,3.792,
34,0.82,14.21,31.5,19.9,,0.00,?,?,?,?,?,?,3.792,
35,0.64,18.73,31.7,19.9,,0.00,?,?,?,?,?,?,3.954,
36,0.71,7.70,31.5,19.9,,0.00,?,?,?,?,?,?,4.106,
37,0.70,15.57,31.7,9.4,,0.00,?,?,?,?,?,?,4.272,
38,0.62,14.94,31.5,9.4,,0.00,?,?,?,?,?,?,4.272,
39,0.62,15.19,31.3,9.4,,0.00,?,?,?,?,?,?,4.435,
40,0.60,18.53,30.5,9.4,,0.00,?,?,?,?,?,?,4.588,
41,0.62,14.21,31.3,9.4,,0.00,?,?,?,?,?,?,4.588,
42,0.62,14.30,31.5,7.2,,0.00,?,?,?,?,?,?,4.747,
43,0.65,16.81,32.0,7.2,,0.00,?,?,?,?,?,?,4.907,
44,0.63,17.51,31.5,7.2,,0.00,?,?,?,?,?,?,4.907,
45,0.67,16.97,31.3,7.2,,0.00,?,?,?,?,?,?,5.072,
46,1.03,6.77,31.5,7.2,,0.00,?,?,?,?,?,?,5.233,
47,0.91,15.89,32.0,5.7,,0.00,?,?,?,?,?,?,5.385,
48,0.72,26.36,31.5,5.7,,0.00,?,?,?,?,?,?,5.385,
49,0.97,5.31,31.3,5.7,,0.00,?,?,?,?,?,?,5.541,
50,0.63,0.15,32.0,5.7,,0.00,?,?,?,?,?,?,5.704,
51,1.00,13.59,33.0,5.7,,0.00,?,?,?,?,?,?,5.705,
52,0.72,30.07,31.5,5.5,,0.00,?,?,?,?,?,?,5.855,
53,0.79,11.10,31.5,5.5,,0.00,?,?,?,?,?,?,6.014,
54,1.13,2.95,32.0,5.5,,0.00,?,?,?,?,?,?,6.167,
55,0.89,17.12,32.0,5.5,,0.00,?,?,?,?,?,?,6.167,
56,0.73,21.24,31.7,5.5,,0.00,?,?,?,?,?,?,6.333,
57,0.80,6.48,32.0,5.5,,0.00,?,?,?,?,?,?,6.497,
58,0.80,16.33,31.7,5.5,,0.00,?,?,?,?,?,?,6.497,
59,0.65,17.24,32.0,5.5,,0.00,?,?,?,?,?,?,6.657,
60,0.77,11.08,32.0,5.4,,0.00,?,?,?,?,?,?,6.824,
61,0.67,21.30,31.0,5.4,,0.00,?,?,?,?,?,?,6.824,
62,0.66,10.79,31.7,5.4,,0.00,?,?,?,?,?,?,6.983,
63,0.75,15.40,32.0,5.4,,0.00,?,?,?,?,?,?,7.135,
64,0.65,16.81,31.3,5.4,,0.00,?,?,?,?,?,?,7.298,
65,0.71,12.08,31.0,5.4,,0.00,?,?,?,?,?,?,7.298,
66,0.71,15.18,31.3,5.4,,0.00,?,?,?,?,?,?,7.449,
67,0.71,13.13,31.5,5.4,,0.00,?,?,?,?,?,?,7.605,
68,0.71,16.27,31.3,5.4,,0.00,?,?,?,?,?,?,7.766,
69,0.69,16.75,31.5,5.4,,0.00,?,?,?,?,?,?,7.766,
70,0.70,15.45,31.3,5.5,,0.00,?,?,?,?,?,?,7.917,
71,0.71,12.74,31.0,5.5,,0.00,?,?,?,?,?,?,8.069,
