<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT646,MK2,D,A92-230205,08-oct.-2024,0 ;796,1000,1,5,labo 63,30,0 ;25,,Pluie,0,0,C MALVAL,09/10/2024,09:39:47,953,materiel CLERMONT avec MK2 NEUF LYON LIGNE 2 PASSAGE 3,M         ,69L2P3
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.56,15.21,30.3,0.0,,0.00,?,?,?,?,?,?,0.064,
2,0.52,18.00,31.0,0.0,,0.00,?,?,?,?,?,?,0.216,
3,0.60,12.13,32.0,0.0,,0.00,?,?,?,?,?,?,0.216,
4,0.59,21.74,30.0,0.0,,0.00,?,?,?,?,?,?,0.374,
5,0.67,20.60,30.3,0.0,,0.00,?,?,?,?,?,?,0.537,
6,1.13,1.42,30.5,0.0,,0.00,?,?,?,?,?,?,0.703,
7,1.02,0.26,31.0,0.0,,0.00,?,?,?,?,?,?,0.703,
8,1.07,0.20,31.5,0.0,,0.00,?,?,?,?,?,?,0.865,
9,0.62,6.36,36.7,0.0,,0.00,?,?,?,?,?,?,1.029,
10,0.28,37.80,32.0,0.0,,0.00,?,?,?,?,?,?,1.029,
11,0.25,20.68,30.7,0.0,,0.00,?,?,?,?,?,?,1.181,
12,0.68,1.98,31.5,0.0,,0.00,?,?,?,?,?,?,1.345,
13,0.88,11.90,35.0,0.0,,0.00,?,?,?,?,?,?,1.345,
14,0.38,32.25,31.0,0.0,,0.00,?,?,?,?,?,?,1.497,
15,0.47,11.95,31.0,0.0,,0.00,?,?,?,?,?,?,1.660,
16,0.31,0.17,31.0,0.0,,0.00,?,?,?,?,?,?,1.660,
17,0.60,4.87,32.3,0.0,,0.00,?,?,?,?,?,?,1.812,
18,0.72,27.60,31.0,0.0,,0.00,?,?,?,?,?,?,1.966,
19,0.59,13.86,31.5,0.0,,0.00,?,?,?,?,?,?,2.130,
20,0.71,10.15,31.0,0.0,,0.00,?,?,?,?,?,?,2.130,
21,0.74,19.63,31.0,0.0,,0.00,?,?,?,?,?,?,2.294,
22,0.68,16.25,31.0,0.0,,0.00,?,?,?,?,?,?,2.446,
23,0.69,13.64,31.0,0.0,,0.00,?,?,?,?,?,?,2.607,
24,0.72,15.16,31.0,0.0,,0.00,?,?,?,?,?,?,2.607,
25,0.72,19.05,31.0,0.0,,0.00,?,?,?,?,?,?,2.760,
26,0.72,13.01,31.0,0.0,,0.00,?,?,?,?,?,?,2.913,
27,0.84,17.19,31.0,0.0,,0.00,?,?,?,?,?,?,3.075,
28,0.70,16.20,31.0,0.0,,0.00,?,?,?,?,?,?,3.075,
29,0.76,13.06,31.0,0.0,,0.00,?,?,?,?,?,?,3.235,
30,0.71,18.16,31.0,0.0,,0.00,?,?,?,?,?,?,3.390,
31,0.77,11.39,31.0,0.0,,0.00,?,?,?,?,?,?,3.390,
32,0.79,17.90,31.0,0.0,,0.00,?,?,?,?,?,?,3.554,
33,0.70,13.69,31.0,0.0,,0.00,?,?,?,?,?,?,3.706,
34,0.70,16.04,31.0,0.0,,0.00,?,?,?,?,?,?,3.858,
35,0.64,14.62,31.0,0.0,,0.00,?,?,?,?,?,?,3.858,
36,0.64,15.27,31.0,0.0,,0.00,?,?,?,?,?,?,4.020,
37,0.63,16.28,31.0,0.0,,0.00,?,?,?,?,?,?,4.171,
38,0.59,16.20,31.0,0.0,,0.00,?,?,?,?,?,?,4.324,
39,0.59,15.50,31.0,0.0,,0.00,?,?,?,?,?,?,4.324,
40,0.59,15.24,31.0,0.0,,0.00,?,?,?,?,?,?,4.486,
41,0.58,16.09,31.0,0.0,,0.00,?,?,?,?,?,?,4.638,
42,0.59,15.52,31.0,0.0,,0.00,?,?,?,?,?,?,4.638,
43,0.59,15.67,31.0,0.0,,0.00,?,?,?,?,?,?,4.797,
44,0.59,15.44,31.0,0.0,,0.00,?,?,?,?,?,?,4.949,
45,0.56,17.26,31.0,0.0,,0.00,?,?,?,?,?,?,4.949,
46,0.58,17.05,31.0,0.0,,0.00,?,?,?,?,?,?,5.106,
47,0.56,14.99,31.0,0.0,,0.00,?,?,?,?,?,?,5.270,
48,0.61,17.16,31.0,0.0,,0.00,?,?,?,?,?,?,5.434,
49,0.58,11.64,31.0,0.0,,0.00,?,?,?,?,?,?,5.434,
50,0.62,18.58,31.0,0.0,,0.00,?,?,?,?,?,?,5.596,
51,0.56,14.08,31.0,0.0,,0.00,?,?,?,?,?,?,5.749,
52,0.64,15.40,31.0,0.0,,0.00,?,?,?,?,?,?,5.912,
53,0.57,15.94,31.0,0.0,,0.00,?,?,?,?,?,?,5.912,
54,0.62,14.18,31.0,0.0,,0.00,?,?,?,?,?,?,6.075,
55,0.62,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,6.238,
56,0.64,17.13,31.0,0.0,,0.00,?,?,?,?,?,?,6.238,
57,0.66,13.14,31.0,0.0,,0.00,?,?,?,?,?,?,6.405,START@57.0m
58,0.71,17.85,31.0,0.0,,0.00,?,?,?,?,?,?,6.566,
59,0.59,16.94,31.0,0.0,,0.00,?,?,?,?,?,?,6.731,
60,0.52,13.15,31.0,0.0,,0.00,?,?,?,?,?,?,6.731,
61,0.52,17.46,31.0,0.0,,0.00,?,?,?,?,?,?,6.891,
62,0.51,14.33,31.0,0.0,,0.00,?,?,?,?,?,?,7.043,
63,0.57,16.25,31.0,0.0,,0.00,?,?,?,?,?,?,7.202,
64,0.55,15.62,31.0,0.0,,0.00,?,?,?,?,?,?,7.202,
65,0.58,15.06,31.0,0.0,,0.00,?,?,?,?,?,?,7.353,
66,0.56,17.24,31.0,0.0,,0.00,?,?,?,?,?,?,7.512,
67,0.52,15.01,31.0,0.0,,0.00,?,?,?,?,?,?,7.512,
68,0.50,17.24,31.0,0.0,,0.00,?,?,?,?,?,?,7.669,
69,0.54,15.62,31.0,0.0,,0.00,?,?,?,?,?,?,7.830,
70,0.54,16.60,31.0,0.0,,0.00,?,?,?,?,?,?,7.830,
71,0.50,14.54,31.0,0.0,,0.00,?,?,?,?,?,?,7.982,
72,0.53,15.72,31.0,0.0,,0.00,?,?,?,?,?,?,8.140,
73,0.52,15.49,31.0,0.0,,0.00,?,?,?,?,?,?,8.305,
74,0.52,16.87,31.0,0.0,,0.00,?,?,?,?,?,?,8.305,
75,0.50,14.83,31.0,0.0,,0.00,?,?,?,?,?,?,8.465,
76,0.50,16.80,31.0,0.0,,0.00,?,?,?,?,?,?,8.629,
77,0.49,15.68,31.0,0.0,,0.00,?,?,?,?,?,?,8.629,
78,0.53,18.58,31.0,0.0,,0.00,?,?,?,?,?,?,8.781,
79,0.49,12.37,30.7,0.0,,0.00,?,?,?,?,?,?,8.933,
80,0.59,21.37,31.0,0.0,,0.00,?,?,?,?,?,?,9.096,
81,0.50,17.49,31.0,0.0,,0.00,?,?,?,?,?,?,9.096,
82,0.52,3.94,31.0,0.0,,0.00,?,?,?,?,?,?,9.247,
83,0.57,20.98,31.0,0.0,,0.00,?,?,?,?,?,?,9.410,
84,0.45,17.58,31.0,0.0,,0.00,?,?,?,?,?,?,9.410,
85,0.48,13.61,31.0,0.0,,0.00,?,?,?,?,?,?,9.562,
86,0.52,18.14,31.0,0.0,,0.00,?,?,?,?,?,?,9.717,
87,0.49,15.26,31.0,0.0,,0.00,?,?,?,?,?,?,9.881,
