<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT646,MK2,D,A92-230205,08-oct.-2024,0 ;796,1000,1,5,labo 63,30,0 ;25,,Pluie,12,0,C MALVAL,09/10/2024,09:55:06,958,materiel CLERMONT avec MK2 NEUF LYON LIGNE 2 PASSAGE 6,M         ,69L2P6
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.58,14.43,31.0,0.0,,0.00,?,?,?,?,?,?,0.021,
2,0.61,17.26,31.0,0.0,,0.00,?,?,?,?,?,?,0.021,
3,0.56,15.57,30.7,0.0,,0.00,?,?,?,?,?,?,0.185,
4,0.53,18.19,30.5,0.0,,0.00,?,?,?,?,?,?,0.341,
5,0.55,16.02,30.3,0.0,,0.00,?,?,?,?,?,?,0.496,
6,0.60,11.10,32.0,0.0,,0.00,?,?,?,?,?,?,0.497,
7,0.70,24.38,30.3,0.0,,0.00,?,?,?,?,?,?,0.655,
8,0.66,9.88,30.5,0.0,,0.00,?,?,?,?,?,?,0.820,
9,1.15,0.42,31.0,0.0,,0.00,?,?,?,?,?,?,0.972,
10,1.20,2.35,35.5,0.0,,0.00,?,?,?,?,?,?,0.972,
11,0.46,28.00,32.7,0.0,,0.00,?,?,?,?,?,?,1.124,
12,0.31,25.23,31.0,0.0,,0.00,?,?,?,?,?,?,1.275,
13,0.14,2.97,31.3,0.0,,0.00,?,?,?,?,?,?,1.275,
14,1.01,6.82,34.0,0.0,,0.00,?,?,?,?,?,?,1.436,
15,0.70,27.53,31.0,0.0,,0.00,?,?,?,?,?,?,1.596,
16,0.56,11.61,31.5,0.0,,0.00,?,?,?,?,?,?,1.596,
17,0.75,8.35,31.0,0.0,,0.00,?,?,?,?,?,?,1.748,
18,0.77,20.42,31.0,0.0,,0.00,?,?,?,?,?,?,1.900,
19,0.70,15.16,31.0,0.0,,0.00,?,?,?,?,?,?,2.063,
20,0.77,15.72,31.0,0.0,,0.00,?,?,?,?,?,?,2.063,
21,0.69,15.19,31.0,0.0,,0.00,?,?,?,?,?,?,2.225,
22,0.77,14.84,31.0,0.0,,0.00,?,?,?,?,?,?,2.391,
23,0.72,16.66,31.0,0.0,,0.00,?,?,?,?,?,?,2.550,
24,0.77,11.20,31.0,0.0,,0.00,?,?,?,?,?,?,2.550,
25,0.74,18.61,31.0,0.0,,0.00,?,?,?,?,?,?,2.702,
26,0.68,12.40,31.0,0.0,,0.00,?,?,?,?,?,?,2.867,
27,0.75,16.01,31.0,0.0,,0.00,?,?,?,?,?,?,2.867,
28,0.66,16.58,31.0,0.0,,0.00,?,?,?,?,?,?,3.030,
29,0.74,13.30,31.0,0.0,,0.00,?,?,?,?,?,?,3.181,
30,0.71,17.28,31.0,0.0,,0.00,?,?,?,?,?,?,3.341,
31,0.75,13.06,31.0,0.0,,0.00,?,?,?,?,?,?,3.341,
32,0.75,17.42,31.0,0.0,,0.00,?,?,?,?,?,?,3.498,
33,0.72,13.55,31.0,0.0,,0.00,?,?,?,?,?,?,3.662,
34,0.74,16.81,31.0,0.0,,0.00,?,?,?,?,?,?,3.828,
35,0.74,12.45,31.0,0.0,,0.00,?,?,?,?,?,?,3.828,
36,0.77,14.93,31.0,0.0,,0.00,?,?,?,?,?,?,3.984,
37,0.75,14.99,31.0,0.0,,0.00,?,?,?,?,?,?,4.151,
38,0.74,15.88,31.0,0.0,,0.00,?,?,?,?,?,?,4.151,
39,0.75,14.18,31.0,0.0,,0.00,?,?,?,?,?,?,4.310,
40,0.75,15.60,31.0,0.0,,0.00,?,?,?,?,?,?,4.468,
41,0.76,14.74,31.0,0.0,,0.00,?,?,?,?,?,?,4.468,
42,0.75,15.89,31.0,0.0,,0.00,?,?,?,?,?,?,4.632,
43,0.75,13.50,31.0,0.0,,0.00,?,?,?,?,?,?,4.796,
44,0.75,14.00,31.0,0.0,,0.00,?,?,?,?,?,?,4.960,
45,0.76,15.31,31.0,0.0,,0.00,?,?,?,?,?,?,4.960,
46,0.76,14.70,31.0,0.0,,0.00,?,?,?,?,?,?,5.124,
47,0.74,16.01,31.0,0.0,,0.00,?,?,?,?,?,?,5.124,
48,0.76,15.29,31.0,0.0,,0.00,?,?,?,?,?,?,5.289,
49,0.78,14.65,31.0,0.0,,0.00,?,?,?,?,?,?,5.453,
50,0.78,17.59,31.0,0.0,,0.00,?,?,?,?,?,?,5.615,
51,0.70,12.08,31.0,0.0,,0.00,?,?,?,?,?,?,5.615,
52,0.79,16.61,31.0,0.0,,0.00,?,?,?,?,?,?,5.767,
53,0.69,17.02,31.0,0.0,,0.00,?,?,?,?,?,?,5.920,
54,0.79,11.04,31.0,0.0,,0.00,?,?,?,?,?,?,6.072,
55,0.78,17.58,31.0,0.0,,0.00,?,?,?,?,?,?,6.072,
56,0.74,14.80,31.0,0.0,,0.00,?,?,?,?,?,?,6.233,
57,0.74,13.59,31.0,0.0,,0.00,?,?,?,?,?,?,6.398,START@57.0m
58,0.74,15.42,31.0,0.0,,0.00,?,?,?,?,?,?,6.398,
59,0.63,17.38,31.0,0.0,,0.00,?,?,?,?,?,?,6.549,
60,0.65,12.86,31.3,0.0,,0.00,?,?,?,?,?,?,6.701,
61,0.67,18.83,31.0,0.0,,0.00,?,?,?,?,?,?,6.701,
62,0.60,15.35,31.0,0.0,,0.00,?,?,?,?,?,?,6.867,
63,0.64,10.39,31.0,0.0,,0.00,?,?,?,?,?,?,7.030,
64,0.60,19.82,31.0,0.0,,0.00,?,?,?,?,?,?,7.195,
65,0.49,13.25,31.0,0.0,,0.00,?,?,?,?,?,?,7.195,
66,0.59,14.26,31.0,0.0,,0.00,?,?,?,?,?,?,7.357,
67,0.53,17.92,31.0,0.0,,0.00,?,?,?,?,?,?,7.513,
68,0.56,14.18,31.0,0.0,,0.00,?,?,?,?,?,?,7.513,
69,0.56,16.33,31.0,0.0,,0.00,?,?,?,?,?,?,7.675,
70,0.58,15.44,31.0,0.0,,0.00,?,?,?,?,?,?,7.827,
71,0.58,16.07,31.0,0.0,,0.00,?,?,?,?,?,?,7.986,
72,0.56,14.84,31.0,0.0,,0.00,?,?,?,?,?,?,7.986,
73,0.56,15.13,31.0,0.0,,0.00,?,?,?,?,?,?,8.138,
74,0.55,13.42,31.0,0.0,,0.00,?,?,?,?,?,?,8.301,
75,0.54,15.99,31.0,0.0,,0.00,?,?,?,?,?,?,8.453,
76,0.56,15.13,31.0,0.0,,0.00,?,?,?,?,?,?,8.453,
77,0.53,16.06,31.0,0.0,,0.00,?,?,?,?,?,?,8.618,
78,0.53,14.38,31.0,0.0,,0.00,?,?,?,?,?,?,8.780,
79,0.52,16.07,31.0,0.0,,0.00,?,?,?,?,?,?,8.944,
80,0.53,14.87,31.0,0.0,,0.00,?,?,?,?,?,?,8.944,
81,0.55,17.10,30.7,0.0,,0.00,?,?,?,?,?,?,9.107,
82,0.55,13.74,31.0,0.0,,0.00,?,?,?,?,?,?,9.107,
83,0.53,19.48,31.0,0.0,,0.00,?,?,?,?,?,?,9.269,
84,0.53,9.80,31.0,0.0,,0.00,?,?,?,?,?,?,9.421,
85,0.58,17.82,31.0,0.0,,0.00,?,?,?,?,?,?,9.580,
86,0.48,15.23,31.0,0.0,,0.00,?,?,?,?,?,?,9.580,
87,0.52,15.22,31.0,0.0,,0.00,?,?,?,?,?,?,9.732,
88,0.50,15.60,31.0,0.0,,0.00,?,?,?,?,?,?,9.895,
89,0.53,15.70,31.0,0.0,,0.00,?,?,?,?,?,?,10.047,
90,0.52,16.26,31.0,0.0,,0.00,?,?,?,?,?,?,10.047,
91,0.53,14.25,31.0,0.0,,0.00,?,?,?,?,?,?,10.209,
92,0.56,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,10.373,
93,0.53,15.76,31.0,0.0,,0.00,?,?,?,?,?,?,10.539,
94,0.53,15.92,31.0,0.0,,0.00,?,?,?,?,?,?,10.539,
95,0.54,16.56,31.0,0.0,,0.00,?,?,?,?,?,?,10.703,
96,0.52,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,10.868,
97,0.55,15.86,31.0,0.0,,0.00,?,?,?,?,?,?,10.868,
98,0.52,16.92,31.0,0.0,,0.00,?,?,?,?,?,?,11.032,
99,0.54,14.26,31.0,0.0,,0.00,?,?,?,?,?,?,11.188,
100,0.56,16.87,31.0,0.0,,0.00,?,?,?,?,?,?,11.188,
101,0.52,15.45,31.0,0.0,,0.00,?,?,?,?,?,?,11.340,
102,0.56,15.23,31.0,0.0,,0.00,?,?,?,?,?,?,11.501,
103,0.56,16.72,31.0,0.0,,0.00,?,?,?,?,?,?,11.653,
104,0.57,14.94,31.0,0.0,,0.00,?,?,?,?,?,?,11.653,
105,0.55,16.46,31.0,0.0,,0.00,?,?,?,?,?,?,11.817,
106,0.56,14.60,31.0,0.0,,0.00,?,?,?,?,?,?,11.983,
107,0.55,16.74,31.0,0.0,,0.00,?,?,?,?,?,?,12.145,
108,0.56,15.38,31.0,0.0,,0.00,?,?,?,?,?,?,12.145,
109,0.55,14.60,31.0,0.0,,0.00,?,?,?,?,?,?,12.299,
110,0.59,16.12,31.0,0.0,,0.00,?,?,?,?,?,?,12.451,
111,0.57,14.91,31.0,0.0,,0.00,?,?,?,?,?,?,12.612,
112,0.59,14.96,31.0,0.0,,0.00,?,?,?,?,?,?,12.612,
113,0.59,16.19,31.0,0.0,,0.00,?,?,?,?,?,?,12.764,
114,0.62,14.87,31.0,0.0,,0.00,?,?,?,?,?,?,12.929,
115,0.62,15.65,31.0,0.0,,0.00,?,?,?,?,?,?,12.929,
116,0.61,15.27,31.0,0.0,,0.00,?,?,?,?,?,?,13.093,
117,0.59,15.60,31.0,0.0,,0.00,?,?,?,?,?,?,13.257,
118,0.58,14.18,31.0,0.0,,0.00,?,?,?,?,?,?,13.409,
119,0.57,17.68,31.0,0.0,,0.00,?,?,?,?,?,?,13.409,
120,0.53,14.38,31.0,0.0,,0.00,?,?,?,?,?,?,13.560,
121,0.60,15.75,31.0,0.0,,0.00,?,?,?,?,?,?,13.717,
122,0.56,16.38,31.0,0.0,,0.00,?,?,?,?,?,?,13.879,
123,0.56,15.18,31.0,0.0,,0.00,?,?,?,?,?,?,13.879,
124,0.54,17.08,31.0,0.0,,0.00,?,?,?,?,?,?,14.044,
125,0.55,14.45,31.0,0.0,,0.00,?,?,?,?,?,?,14.201,
126,0.54,16.43,31.0,0.0,,0.00,?,?,?,?,?,?,14.201,
127,0.53,13.91,31.0,0.0,,0.00,?,?,?,?,?,?,14.366,
128,0.55,16.02,31.0,0.0,,0.00,?,?,?,?,?,?,14.532,
129,0.51,14.82,31.0,0.0,,0.00,?,?,?,?,?,?,14.532,
130,0.54,15.53,31.0,0.0,,0.00,?,?,?,?,?,?,14.697,
131,0.53,16.28,31.0,0.0,,0.00,?,?,?,?,?,?,14.857,
132,0.54,15.37,31.0,0.0,,0.00,?,?,?,?,?,?,15.016,
133,0.52,17.02,31.0,0.0,,0.00,?,?,?,?,?,?,15.016,
134,0.53,15.26,31.0,0.0,,0.00,?,?,?,?,?,?,15.169,
135,0.53,16.77,31.0,0.0,,0.00,?,?,?,?,?,?,15.326,
136,0.54,15.83,31.0,0.0,,0.00,?,?,?,?,?,?,15.487,
137,0.55,16.04,31.0,0.0,,0.00,?,?,?,?,?,?,15.488,
138,0.53,14.59,31.0,0.0,,0.00,?,?,?,?,?,?,15.640,
139,0.50,16.72,31.0,0.0,,0.00,?,?,?,?,?,?,15.804,
140,0.51,14.95,31.0,0.0,,0.00,?,?,?,?,?,?,15.804,
141,0.52,15.97,31.0,0.0,,0.00,?,?,?,?,?,?,15.971,
142,0.51,16.63,31.0,0.0,,0.00,?,?,?,?,?,?,16.136,
143,0.48,15.06,31.0,0.0,,0.00,?,?,?,?,?,?,16.136,
144,0.51,16.15,31.0,0.0,,0.00,?,?,?,?,?,?,16.296,
145,0.50,15.38,31.0,0.0,,0.00,?,?,?,?,?,?,16.459,
146,0.51,15.99,31.0,0.0,,0.00,?,?,?,?,?,?,16.623,
147,0.50,15.50,31.0,0.0,,0.00,?,?,?,?,?,?,16.623,
148,0.52,15.94,31.0,0.0,,0.00,?,?,?,?,?,?,16.785,
149,0.51,14.67,31.0,0.0,,0.00,?,?,?,?,?,?,16.936,
150,0.52,15.60,31.0,0.0,,0.00,?,?,?,?,?,?,16.936,
151,0.52,15.11,31.0,0.0,,0.00,?,?,?,?,?,?,17.095,
152,0.50,15.55,31.0,0.0,,0.00,?,?,?,?,?,?,17.247,
153,0.50,16.30,31.0,0.0,,0.00,?,?,?,?,?,?,17.403,
154,0.50,15.45,31.0,0.0,,0.00,?,?,?,?,?,?,17.404,
155,0.52,16.32,31.0,0.0,,0.00,?,?,?,?,?,?,17.555,
156,0.50,14.99,31.0,0.0,,0.00,?,?,?,?,?,?,17.720,
157,0.54,15.53,31.0,0.0,,0.00,?,?,?,?,?,?,17.872,
158,0.53,16.01,31.0,0.0,,0.00,?,?,?,?,?,?,17.872,
159,0.51,15.91,31.0,0.0,,0.00,?,?,?,?,?,?,18.029,
160,0.50,16.21,31.0,0.0,,0.00,?,?,?,?,?,?,18.191,
161,0.50,15.89,31.0,0.0,,0.00,?,?,?,?,?,?,18.359,
162,0.49,15.23,31.0,0.0,,0.00,?,?,?,?,?,?,18.359,
163,0.49,15.84,31.0,0.0,,0.00,?,?,?,?,?,?,18.524,
164,0.48,15.53,31.0,0.0,,0.00,?,?,?,?,?,?,18.524,
165,0.50,15.19,31.0,0.0,,0.00,?,?,?,?,?,?,18.686,
166,0.51,15.67,31.0,0.0,,0.00,?,?,?,?,?,?,18.844,
167,0.50,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,19.011,
168,0.51,15.35,31.0,0.0,,0.00,?,?,?,?,?,?,19.011,
169,0.51,16.59,31.0,0.0,,0.00,?,?,?,?,?,?,19.170,
170,0.52,15.09,31.0,0.0,,0.00,?,?,?,?,?,?,19.330,
171,0.54,15.70,31.0,0.0,,0.00,?,?,?,?,?,?,19.330,
172,0.52,15.82,31.0,0.0,,0.00,?,?,?,?,?,?,19.481,
173,0.51,15.55,31.0,0.0,,0.00,?,?,?,?,?,?,19.633,
174,0.51,16.19,31.0,0.0,,0.00,?,?,?,?,?,?,19.795,
175,0.54,15.32,31.0,0.0,,0.00,?,?,?,?,?,?,19.795,
176,0.53,16.65,31.0,0.0,,0.00,?,?,?,?,?,?,19.947,
177,0.53,15.35,31.0,0.0,,0.00,?,?,?,?,?,?,20.107,
178,0.51,15.55,31.0,0.0,,0.00,?,?,?,?,?,?,20.273,
179,0.55,15.48,31.0,0.0,,0.00,?,?,?,?,?,?,20.273,
180,0.53,14.67,31.0,0.0,,0.00,?,?,?,?,?,?,20.435,
