<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT646,MK2,D,A92-230205,08-oct.-2024,0 ;796,1000,1,5,labo 63,30,0 ;25,,Pluie,12,0,C MALVAL,09/10/2024,09:50:25,956,materiel CLERMONT avec MK2 NEUF LYON LIGNE 2 PASSAGE 5,M         ,69L2P5
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.54,13.92,30.3,0.0,,0.00,?,?,?,?,?,?,0.064,
2,0.54,17.04,30.5,0.0,,0.00,?,?,?,?,?,?,0.228,
3,0.58,16.66,30.7,0.0,,0.00,?,?,?,?,?,?,0.391,
4,0.66,13.96,31.5,0.0,,0.00,?,?,?,?,?,?,0.392,
5,0.72,25.20,30.3,0.0,,0.00,?,?,?,?,?,?,0.555,
6,0.83,6.04,30.0,0.0,,0.00,?,?,?,?,?,?,0.555,
7,0.79,0.36,31.3,0.0,,0.00,?,?,?,?,?,?,0.706,
8,1.11,5.50,35.5,0.0,,0.00,?,?,?,?,?,?,0.873,
9,0.55,31.62,31.3,0.0,,0.00,?,?,?,?,?,?,1.025,
10,0.50,15.13,31.0,0.0,,0.00,?,?,?,?,?,?,1.025,
11,0.70,3.26,32.7,0.0,,0.00,?,?,?,?,?,?,1.177,
12,0.75,19.61,32.5,0.0,,0.00,?,?,?,?,?,?,1.329,
13,0.63,22.48,31.0,0.0,,0.00,?,?,?,?,?,?,1.480,
14,0.64,5.57,31.5,0.0,,0.00,?,?,?,?,?,?,1.480,
15,0.84,13.92,31.0,0.0,,0.00,?,?,?,?,?,?,1.642,
16,0.70,22.30,31.0,0.0,,0.00,?,?,?,?,?,?,1.802,
17,0.68,12.26,31.0,0.0,,0.00,?,?,?,?,?,?,1.802,
18,0.75,17.11,31.0,0.0,,0.00,?,?,?,?,?,?,1.953,
19,0.67,15.13,31.0,0.0,,0.00,?,?,?,?,?,?,2.105,
20,0.69,16.55,31.0,0.0,,0.00,?,?,?,?,?,?,2.267,
21,0.68,15.37,31.0,0.0,,0.00,?,?,?,?,?,?,2.267,
22,0.74,16.01,31.0,0.0,,0.00,?,?,?,?,?,?,2.419,
23,0.68,16.50,31.0,0.0,,0.00,?,?,?,?,?,?,2.572,
24,0.72,13.13,31.0,0.0,,0.00,?,?,?,?,?,?,2.572,
25,0.71,17.62,31.0,0.0,,0.00,?,?,?,?,?,?,2.736,
26,0.69,14.30,31.0,0.0,,0.00,?,?,?,?,?,?,2.892,
27,0.81,14.83,31.0,0.0,,0.00,?,?,?,?,?,?,3.052,
28,0.76,16.56,31.0,0.0,,0.00,?,?,?,?,?,?,3.205,
29,0.81,13.33,31.0,0.0,,0.00,?,?,?,?,?,?,3.205,
30,0.78,18.13,31.0,0.0,,0.00,?,?,?,?,?,?,3.366,
31,0.77,13.72,31.0,0.0,,0.00,?,?,?,?,?,?,3.518,
32,0.75,14.62,31.0,0.0,,0.00,?,?,?,?,?,?,3.682,
33,0.78,15.50,31.0,0.0,,0.00,?,?,?,?,?,?,3.682,
34,0.73,16.41,31.0,0.0,,0.00,?,?,?,?,?,?,3.845,
35,0.76,14.38,31.0,0.0,,0.00,?,?,?,?,?,?,3.845,
36,0.76,15.83,31.0,0.0,,0.00,?,?,?,?,?,?,4.003,
37,0.76,15.33,31.0,0.0,,0.00,?,?,?,?,?,?,4.156,
38,0.74,16.82,31.0,0.0,,0.00,?,?,?,?,?,?,4.315,
39,0.75,14.33,31.0,0.0,,0.00,?,?,?,?,?,?,4.315,
40,0.75,15.00,31.0,0.0,,0.00,?,?,?,?,?,?,4.477,
41,0.74,15.89,31.0,0.0,,0.00,?,?,?,?,?,?,4.643,
42,0.74,13.74,31.0,0.0,,0.00,?,?,?,?,?,?,4.808,
43,0.73,16.09,31.0,0.0,,0.00,?,?,?,?,?,?,4.808,
44,0.69,16.10,31.0,0.0,,0.00,?,?,?,?,?,?,4.974,
45,0.69,14.91,31.0,0.0,,0.00,?,?,?,?,?,?,4.974,
46,0.76,17.23,31.0,0.0,,0.00,?,?,?,?,?,?,5.126,
47,0.74,14.08,31.0,0.0,,0.00,?,?,?,?,?,?,5.285,
48,0.74,15.37,31.0,0.0,,0.00,?,?,?,?,?,?,5.447,
49,0.78,13.37,31.0,0.0,,0.00,?,?,?,?,?,?,5.447,
50,0.74,16.98,31.0,0.0,,0.00,?,?,?,?,?,?,5.611,
51,0.74,11.64,31.0,0.0,,0.00,?,?,?,?,?,?,5.774,
52,0.77,17.90,31.0,0.0,,0.00,?,?,?,?,?,?,5.927,
53,0.68,14.06,31.0,0.0,,0.00,?,?,?,?,?,?,5.927,
54,0.75,13.22,31.0,0.0,,0.00,?,?,?,?,?,?,6.079,
55,0.71,18.75,31.0,0.0,,0.00,?,?,?,?,?,?,6.238,
56,0.65,15.03,31.0,0.0,,0.00,?,?,?,?,?,?,6.238,
57,0.64,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,6.400,START@57.0m
58,0.67,14.65,31.0,0.0,,0.00,?,?,?,?,?,?,6.563,
59,0.66,19.88,31.0,0.0,,0.00,?,?,?,?,?,?,6.563,
60,0.54,13.33,31.0,0.0,,0.00,?,?,?,?,?,?,6.723,
61,0.51,15.21,31.0,0.0,,0.00,?,?,?,?,?,?,6.878,
62,0.51,16.76,31.0,0.0,,0.00,?,?,?,?,?,?,7.044,
63,0.53,14.11,31.0,0.0,,0.00,?,?,?,?,?,?,7.044,
64,0.54,16.67,31.0,0.0,,0.00,?,?,?,?,?,?,7.205,
65,0.50,14.23,31.0,0.0,,0.00,?,?,?,?,?,?,7.361,
66,0.51,16.82,31.0,0.0,,0.00,?,?,?,?,?,?,7.524,
67,0.49,14.69,31.0,0.0,,0.00,?,?,?,?,?,?,7.524,
68,0.52,16.46,31.0,0.0,,0.00,?,?,?,?,?,?,7.688,
69,0.50,15.48,31.0,0.0,,0.00,?,?,?,?,?,?,7.844,
70,0.50,16.70,31.0,0.0,,0.00,?,?,?,?,?,?,7.844,
71,0.45,14.30,31.0,0.0,,0.00,?,?,?,?,?,?,8.006,
72,0.49,15.23,31.0,0.0,,0.00,?,?,?,?,?,?,8.157,
73,0.49,15.97,31.0,0.0,,0.00,?,?,?,?,?,?,8.315,
74,0.51,16.58,31.0,0.0,,0.00,?,?,?,?,?,?,8.315,
75,0.49,15.39,31.0,0.0,,0.00,?,?,?,?,?,?,8.480,
76,0.50,16.23,31.0,0.0,,0.00,?,?,?,?,?,?,8.644,
77,0.48,15.94,31.0,0.0,,0.00,?,?,?,?,?,?,8.809,
78,0.53,15.92,31.0,0.0,,0.00,?,?,?,?,?,?,8.809,
79,0.51,16.15,30.7,0.0,,0.00,?,?,?,?,?,?,8.971,
80,0.56,16.16,30.5,0.0,,0.00,?,?,?,?,?,?,8.971,
81,0.50,18.50,31.0,0.0,,0.00,?,?,?,?,?,?,9.122,
82,0.59,9.27,31.0,0.0,,0.00,?,?,?,?,?,?,9.282,
83,0.56,19.23,31.0,0.0,,0.00,?,?,?,?,?,?,9.438,
84,0.47,15.53,31.0,0.0,,0.00,?,?,?,?,?,?,9.438,
85,0.50,15.32,31.0,0.0,,0.00,?,?,?,?,?,?,9.599,
86,0.50,16.16,31.0,0.0,,0.00,?,?,?,?,?,?,9.750,
87,0.51,16.10,31.0,0.0,,0.00,?,?,?,?,?,?,9.902,
88,0.50,16.55,31.0,0.0,,0.00,?,?,?,?,?,?,9.902,
89,0.52,14.46,31.0,0.0,,0.00,?,?,?,?,?,?,10.070,
90,0.54,16.63,31.0,0.0,,0.00,?,?,?,?,?,?,10.221,
91,0.52,16.01,31.0,0.0,,0.00,?,?,?,?,?,?,10.385,
92,0.52,16.28,31.0,0.0,,0.00,?,?,?,?,?,?,10.385,
93,0.52,17.15,31.0,0.0,,0.00,?,?,?,?,?,?,10.551,
94,0.50,15.67,31.0,0.0,,0.00,?,?,?,?,?,?,10.715,
95,0.54,17.00,31.0,0.0,,0.00,?,?,?,?,?,?,10.881,
96,0.50,16.19,31.0,0.0,,0.00,?,?,?,?,?,?,10.881,
97,0.54,14.67,31.0,0.0,,0.00,?,?,?,?,?,?,11.033,
98,0.54,17.75,31.0,0.0,,0.00,?,?,?,?,?,?,11.033,
99,0.52,15.06,31.0,0.0,,0.00,?,?,?,?,?,?,11.185,
100,0.56,16.70,31.0,0.0,,0.00,?,?,?,?,?,?,11.347,
101,0.53,16.40,31.0,0.0,,0.00,?,?,?,?,?,?,11.500,
102,0.53,16.04,31.0,0.0,,0.00,?,?,?,?,?,?,11.652,
103,0.51,16.66,31.0,0.0,,0.00,?,?,?,?,?,?,11.652,
104,0.53,15.72,31.0,0.0,,0.00,?,?,?,?,?,?,11.804,
105,0.51,16.85,31.0,0.0,,0.00,?,?,?,?,?,?,11.955,
106,0.52,15.75,31.0,0.0,,0.00,?,?,?,?,?,?,11.955,
107,0.52,15.19,31.0,0.0,,0.00,?,?,?,?,?,?,12.120,
108,0.55,17.12,31.0,0.0,,0.00,?,?,?,?,?,?,12.283,
109,0.55,15.28,31.0,0.0,,0.00,?,?,?,?,?,?,12.446,
110,0.57,15.47,31.0,0.0,,0.00,?,?,?,?,?,?,12.596,
111,0.56,16.85,31.0,0.0,,0.00,?,?,?,?,?,?,12.596,
112,0.58,15.63,31.0,0.0,,0.00,?,?,?,?,?,?,12.758,
113,0.61,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,12.925,
114,0.59,15.78,31.0,0.0,,0.00,?,?,?,?,?,?,12.925,
115,0.58,15.38,31.0,0.0,,0.00,?,?,?,?,?,?,13.090,
116,0.58,14.69,31.0,0.0,,0.00,?,?,?,?,?,?,13.253,
117,0.56,18.00,31.0,0.0,,0.00,?,?,?,?,?,?,13.253,
118,0.54,14.34,31.0,0.0,,0.00,?,?,?,?,?,?,13.407,
119,0.58,16.75,31.0,0.0,,0.00,?,?,?,?,?,?,13.568,
120,0.54,15.63,31.0,0.0,,0.00,?,?,?,?,?,?,13.722,
121,0.57,16.14,31.0,0.0,,0.00,?,?,?,?,?,?,13.722,
122,0.56,16.46,31.0,0.0,,0.00,?,?,?,?,?,?,13.883,
123,0.59,14.99,31.0,0.0,,0.00,?,?,?,?,?,?,14.035,
124,0.58,16.41,31.0,0.0,,0.00,?,?,?,?,?,?,14.188,
125,0.57,13.89,31.0,0.0,,0.00,?,?,?,?,?,?,14.188,
126,0.59,16.61,31.0,0.0,,0.00,?,?,?,?,?,?,14.349,
127,0.57,14.69,31.0,0.0,,0.00,?,?,?,?,?,?,14.514,
