<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT646,MK2,D,A92-230205,08-oct.-2024,0 ;796,1000,1,5,labo 63,30,0 ;25,,Pluie,0,0,C MALVAL,09/10/2024,09:34:17,956,materiel CLERMONT avec MK2 NEUF LYON LIGNE 2 PASSAGE 2,M         ,69L2P2
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.58,15.81,31.3,0.0,,0.00,?,?,?,?,?,?,0.030,
2,0.63,17.63,31.5,0.0,,0.00,?,?,?,?,?,?,0.193,
3,0.69,22.02,31.3,0.0,,0.00,?,?,?,?,?,?,0.343,
4,0.94,3.72,30.5,0.0,,0.00,?,?,?,?,?,?,0.343,
5,1.00,6.99,31.3,0.0,,0.00,?,?,?,?,?,?,0.507,
6,0.75,22.96,31.5,0.0,,0.00,?,?,?,?,?,?,0.507,
7,0.68,16.64,31.7,0.0,,0.00,?,?,?,?,?,?,0.658,
8,0.71,13.06,31.5,0.0,,0.00,?,?,?,?,?,?,0.811,
9,0.69,17.39,31.7,0.0,,0.00,?,?,?,?,?,?,0.972,
10,0.68,14.79,31.5,0.0,,0.00,?,?,?,?,?,?,0.972,
11,0.70,14.28,31.3,0.0,,0.00,?,?,?,?,?,?,1.139,
12,0.69,17.53,32.0,0.0,,0.00,?,?,?,?,?,?,1.295,
13,0.73,12.05,31.3,0.0,,0.00,?,?,?,?,?,?,1.457,
14,0.73,17.14,31.0,0.0,,0.00,?,?,?,?,?,?,1.457,
15,0.67,15.24,31.7,0.0,,0.00,?,?,?,?,?,?,1.609,
16,0.69,15.04,31.0,0.0,,0.00,?,?,?,?,?,?,1.774,
