abscisses;CFT
10;67
20;64
30;60
40;56
50;56
60;58
70;64
80;61
90;76
100;74
110;79
120;77
130;78
140;77
150;82
160;70
170;69
180;71
190;83
200;85
210;75
220;76
230;86
240;81
250;79
260;87
270;90
280;85
290;78
300;75
310;57
320;56
330;60
340;71
350;70
360;71
370;68
380;74
390;74
400;55
410;43
420;53
430;56
440;57
450;52
460;53
470;55
480;54
490;55
500;59
510;61
520;56
530;56
540;58
550;53
560;53
570;50
580;46
590;52
600;59
610;60
620;33
630;-4
640;-2
650;0
660;
670;
