abscisses;CFT
10;61
20;63
30;57
40;60
50;60
60;59
70;63
80;67
90;78
100;75
110;77
120;80
130;79
140;79
150;82
160;73
170;71
180;77
190;84
200;79
210;72
220;81
230;80
240;78
250;80
260;89
270;88
280;79
290;79
300;82
310;60
320;53
330;59
340;75
350;72
360;70
370;64
380;81
390;74
400;54
410;52
420;54
430;56
440;55
450;54
460;54
470;55
480;56
490;61
500;62
510;59
520;56
530;60
540;60
550;55
560;55
570;52
580;44
590;56
600;68
610;58
620;70
630;2
640;-1
650;0
660;0
670;
