abscisses;CFT
10;61
20;61
30;61
40;60
50;57
60;64
70;62
80;74
90;78
100;78
110;81
120;83
130;77
140;81
150;80
160;78
170;72
180;78
190;79
200;83
210;75
220;83
230;79
240;84
250;88
260;91
270;86
280;82
290;81
300;79
310;53
320;58
330;63
340;76
350;78
360;73
370;73
380;71
390;70
400;45
410;54
420;57
430;57
440;57
450;55
460;55
470;54
480;55
490;56
500;63
510;59
520;59
530;59
540;56
550;54
560;53
570;52
580;49
590;67
600;64
610;54
620;7
630;-2
640;-1
650;-1
660;0
670;
;
;
;
;
;81
;
;
;56
