<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,19,12,C MALVAL,08/10/2024,14:50:34,953,Clermont 63 Ligne 2 passage 2,M         ,63L2P2
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,1.09,2.45,32.0,1.0,,0.00,?,?,?,?,?,?,0.131,
2,0.67,21.30,32.0,1.0,,0.00,?,?,?,?,?,?,0.293,
3,0.56,20.17,32.0,1.0,,0.00,?,?,?,?,?,?,0.293,
4,0.70,9.76,32.0,1.0,,0.00,?,?,?,?,?,?,0.460,
5,0.70,15.92,32.0,1.0,,0.00,?,?,?,?,?,?,0.624,
6,0.58,16.97,32.0,3.8,,0.00,?,?,?,?,?,?,0.788,
7,0.59,13.18,32.0,3.8,,0.00,?,?,?,?,?,?,0.788,
8,0.56,16.85,32.0,3.8,,0.00,?,?,?,?,?,?,0.939,
9,0.52,15.43,32.0,3.8,,0.00,?,?,?,?,?,?,1.092,
10,0.53,14.31,32.0,3.8,,0.00,?,?,?,?,?,?,1.092,
11,0.54,13.79,32.0,23.0,,0.00,?,?,?,?,?,?,1.256,
12,0.58,13.55,32.0,23.0,,0.00,?,?,?,?,?,?,1.419,
13,0.59,15.08,32.0,23.0,,0.00,?,?,?,?,?,?,1.419,
14,0.59,15.50,32.0,23.0,,0.00,?,?,?,?,?,?,1.585,
15,0.56,16.22,32.0,32.9,,0.00,?,?,?,?,?,?,1.747,
16,0.58,14.23,32.0,32.9,,0.00,?,?,?,?,?,?,1.747,
17,0.58,15.57,32.0,32.9,,0.00,?,?,?,?,?,?,1.900,
