<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,15,12,C MALVAL,08/10/2024,14:38:57,957,Clermont 63 Ligne 2 passage 1,M         ,63L2P1
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
71,0.59,13.76,31.0,0.0,,0.00,?,?,?,?,?,?,8.050,
72,0.57,15.09,31.0,0.0,,0.00,?,?,?,?,?,?,8.050,
73,0.59,12.84,31.0,0.0,,0.00,?,?,?,?,?,?,8.214,
74,0.59,19.46,31.0,0.0,,0.00,?,?,?,?,?,?,8.376,
75,0.56,13.45,31.0,0.0,,0.00,?,?,?,?,?,?,8.534,
76,0.67,15.09,31.0,0.0,,0.00,?,?,?,?,?,?,8.534,
77,0.75,17.51,31.0,0.0,,0.00,?,?,?,?,?,?,8.687,
78,0.78,14.45,31.0,0.0,,0.00,?,?,?,?,?,?,8.847,
79,0.92,11.20,31.0,0.0,,0.00,?,?,?,?,?,?,8.999,
80,0.75,21.44,31.0,0.0,,0.00,?,?,?,?,?,?,8.999,
81,0.87,8.46,31.0,0.0,,0.00,?,?,?,?,?,?,9.162,
82,0.85,18.75,31.0,0.0,,0.00,?,?,?,?,?,?,9.314,
83,0.73,15.37,31.0,0.0,,0.00,?,?,?,?,?,?,9.314,
84,0.83,13.79,31.0,0.0,,0.00,?,?,?,?,?,?,9.479,
85,0.78,15.84,31.0,0.0,,0.00,?,?,?,?,?,?,9.642,
86,0.80,13.86,31.0,0.0,,0.00,?,?,?,?,?,?,9.642,
87,0.78,15.21,31.0,0.0,,0.00,?,?,?,?,?,?,9.802,
88,0.81,15.06,31.0,0.0,,0.00,?,?,?,?,?,?,9.956,
