<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,19,12,C MALVAL,08/10/2024,15:19:42,954,Clermont 63 Ligne 2 passage 4,M         ,63L2P5
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.57,16.19,32.0,1.5,,0.00,?,?,?,?,?,?,0.070,
2,0.74,15.39,31.3,1.5,,0.00,?,?,?,?,?,?,0.070,
3,0.80,14.62,31.5,1.5,,0.00,?,?,?,?,?,?,0.222,
4,0.58,15.76,32.0,1.5,,0.00,?,?,?,?,?,?,0.381,
5,0.71,10.44,32.0,1.5,,0.00,?,?,?,?,?,?,0.381,
6,0.61,19.87,32.0,1.5,,0.00,?,?,?,?,?,?,0.543,
7,0.58,12.45,32.0,1.5,,0.00,?,?,?,?,?,?,0.707,
8,0.72,10.66,32.0,1.5,,0.00,?,?,?,?,?,?,0.707,
9,0.59,18.83,32.0,1.5,,0.00,?,?,?,?,?,?,0.864,
10,0.62,9.17,32.0,1.4,,0.00,?,?,?,?,?,?,1.028,
11,0.63,15.58,32.0,1.4,,0.00,?,?,?,?,?,?,1.190,
12,0.55,15.16,32.0,1.4,,0.00,?,?,?,?,?,?,1.190,
13,0.57,13.43,32.0,1.4,,0.00,?,?,?,?,?,?,1.352,
14,0.54,17.53,32.0,16.1,,0.00,?,?,?,?,?,?,1.504,
15,0.56,12.03,32.0,16.1,,0.00,?,?,?,?,?,?,1.504,
16,0.56,15.31,32.0,16.1,,0.00,?,?,?,?,?,?,1.666,
17,0.53,13.92,32.0,16.1,,0.00,?,?,?,?,?,?,1.818,
18,0.56,14.57,32.0,16.1,,0.00,?,?,?,?,?,?,1.818,
19,0.55,16.45,32.0,30.1,,0.00,?,?,?,?,?,?,1.972,
20,0.53,15.31,32.0,30.1,,0.00,?,?,?,?,?,?,2.133,
21,0.55,15.45,32.0,30.1,,0.00,?,?,?,?,?,?,2.298,
22,0.53,15.65,31.5,30.1,,0.00,?,?,?,?,?,?,2.298,
23,0.54,13.90,31.0,39.2,,0.00,?,?,?,?,?,?,2.459,
24,0.54,14.89,31.5,39.2,,0.00,?,?,?,?,?,?,2.624,
25,0.55,14.47,31.3,39.2,,0.00,?,?,?,?,?,?,2.786,
26,0.55,15.67,31.0,39.2,,0.00,?,?,?,?,?,?,2.786,
27,0.54,14.26,31.0,39.2,,0.00,?,?,?,?,?,?,2.946,
28,0.53,14.96,31.0,42.4,,0.00,?,?,?,?,?,?,3.106,
29,0.55,13.69,31.0,42.4,,0.00,?,?,?,?,?,?,3.106,
30,0.55,14.03,31.0,42.4,,0.00,?,?,?,?,?,?,3.271,
31,0.57,14.15,31.0,42.4,,0.00,?,?,?,?,?,?,3.436,
32,0.56,15.45,31.0,42.4,,0.00,?,?,?,?,?,?,3.436,
33,0.55,15.03,31.0,40.1,,0.00,?,?,?,?,?,?,3.600,
34,0.55,14.43,31.0,40.1,,0.00,?,?,?,?,?,?,3.764,
35,0.59,13.89,31.0,40.1,,0.00,?,?,?,?,?,?,3.924,
36,0.58,15.92,31.0,40.1,,0.00,?,?,?,?,?,?,3.925,
37,0.57,14.46,31.0,34.1,,0.00,?,?,?,?,?,?,4.085,
38,0.55,16.50,31.0,34.1,,0.00,?,?,?,?,?,?,4.238,
39,0.56,14.67,31.0,34.1,,0.00,?,?,?,?,?,?,4.238,
40,0.59,14.20,31.0,34.1,,0.00,?,?,?,?,?,?,4.399,
41,0.56,15.31,31.0,34.1,,0.00,?,?,?,?,?,?,4.551,
42,0.56,13.30,31.0,22.8,,0.00,?,?,?,?,?,?,4.703,
43,0.56,14.01,31.0,22.8,,0.00,?,?,?,?,?,?,4.703,
44,0.56,14.70,31.0,22.8,,0.00,?,?,?,?,?,?,4.855,
45,0.55,14.55,31.0,22.8,,0.00,?,?,?,?,?,?,5.019,
46,0.56,15.60,31.0,22.8,,0.00,?,?,?,?,?,?,5.019,
47,0.57,16.43,31.0,13.2,,0.00,?,?,?,?,?,?,5.180,
48,0.56,15.45,31.0,13.2,,0.00,?,?,?,?,?,?,5.333,
49,0.56,15.38,31.0,13.2,,0.00,?,?,?,?,?,?,5.333,
50,0.51,14.39,31.0,13.2,,0.00,?,?,?,?,?,?,5.487,
51,0.54,13.84,31.0,8.8,,0.00,?,?,?,?,?,?,5.639,
52,0.53,16.06,31.0,8.8,,0.00,?,?,?,?,?,?,5.800,
53,0.55,13.25,31.0,8.8,,0.00,?,?,?,?,?,?,5.800,
54,0.54,15.35,31.0,8.8,,0.00,?,?,?,?,?,?,5.958,
55,0.53,13.79,31.0,6.9,,0.00,?,?,?,?,?,?,6.119,
56,0.53,14.62,31.0,6.9,,0.00,?,?,?,?,?,?,6.271,
57,0.55,14.21,31.0,6.9,,0.00,?,?,?,?,?,?,6.271,
58,0.54,15.00,31.0,6.9,,0.00,?,?,?,?,?,?,6.429,
59,0.59,14.62,31.0,5.7,,0.00,?,?,?,?,?,?,6.581,
60,0.61,15.40,31.0,5.7,,0.00,?,?,?,?,?,?,6.738,
61,0.62,14.50,31.0,5.7,,0.00,?,?,?,?,?,?,6.738,
62,0.61,15.89,31.0,5.7,,0.00,?,?,?,?,?,?,6.903,
63,0.59,15.45,31.0,5.7,,0.00,?,?,?,?,?,?,7.067,
64,0.61,14.49,31.0,6.0,,0.00,?,?,?,?,?,?,7.230,
65,0.60,16.23,31.0,6.0,,0.00,?,?,?,?,?,?,7.230,
66,0.59,14.28,31.0,6.0,,0.00,?,?,?,?,?,?,7.394,
67,0.61,15.31,31.0,6.0,,0.00,?,?,?,?,?,?,7.394,
68,0.59,15.13,31.0,6.0,,0.00,?,?,?,?,?,?,7.558,
69,0.61,13.89,31.0,5.6,,0.00,?,?,?,?,?,?,7.721,
70,0.60,14.74,31.0,5.6,,0.00,?,?,?,?,?,?,7.881,
71,0.57,16.14,31.0,5.6,,0.00,?,?,?,?,?,?,7.881,
72,0.53,15.21,31.0,5.6,,0.00,?,?,?,?,?,?,8.047,
73,0.55,14.49,31.0,5.6,,0.00,?,?,?,?,?,?,8.212,
74,0.53,15.65,31.0,5.6,,0.00,?,?,?,?,?,?,8.212,
75,0.56,13.17,31.0,5.6,,0.00,?,?,?,?,?,?,8.365,
76,0.54,16.11,31.0,5.6,,0.00,?,?,?,?,?,?,8.526,
77,0.55,13.35,31.0,5.7,,0.00,?,?,?,?,?,?,8.693,
78,0.54,18.26,31.0,5.7,,0.00,?,?,?,?,?,?,8.693,
79,0.57,14.26,31.0,5.7,,0.00,?,?,?,?,?,?,8.856,
80,0.71,15.67,31.0,5.7,,0.00,?,?,?,?,?,?,9.020,
81,0.76,18.29,31.0,5.7,,0.00,?,?,?,?,?,?,9.020,
82,0.83,10.05,31.0,5.4,,0.00,?,?,?,?,?,?,9.178,
83,0.92,14.23,31.3,5.4,,0.00,?,?,?,?,?,?,9.332,
84,0.72,19.02,31.0,5.4,,0.00,?,?,?,?,?,?,9.332,
85,0.86,8.98,31.0,5.4,,0.00,?,?,?,?,?,?,9.495,
86,0.84,18.83,31.0,5.4,,0.00,?,?,?,?,?,?,9.647,
87,0.77,14.52,31.0,5.5,,0.00,?,?,?,?,?,?,9.811,
88,0.82,15.01,31.0,5.5,,0.00,?,?,?,?,?,?,9.811,
89,0.80,14.88,31.0,5.5,,0.00,?,?,?,?,?,?,9.974,
90,0.81,14.35,31.0,5.5,,0.00,?,?,?,?,?,?,10.138,
91,0.80,14.67,31.0,5.7,,0.00,?,?,?,?,?,?,10.300,
92,0.80,14.55,31.0,5.7,,0.00,?,?,?,?,?,?,10.300,
93,0.79,16.04,31.0,5.7,,0.00,?,?,?,?,?,?,10.452,
94,0.79,15.65,31.0,5.7,,0.00,?,?,?,?,?,?,10.617,
95,0.80,15.39,31.0,5.7,,0.00,?,?,?,?,?,?,10.617,
96,0.78,15.16,31.0,5.6,,0.00,?,?,?,?,?,?,10.769,
97,0.81,13.94,31.0,5.6,,0.00,?,?,?,?,?,?,10.930,
98,0.78,14.87,31.0,5.6,,0.00,?,?,?,?,?,?,10.930,
99,0.79,14.30,31.0,5.6,,0.00,?,?,?,?,?,?,11.082,
100,0.80,15.77,31.0,6.4,,0.00,?,?,?,?,?,?,11.245,
101,0.79,15.27,31.0,6.4,,0.00,?,?,?,?,?,?,11.410,
102,0.79,16.16,31.0,6.4,,0.00,?,?,?,?,?,?,11.410,
103,0.79,15.14,31.0,6.4,,0.00,?,?,?,?,?,?,11.570,
104,0.79,14.79,31.0,6.6,,0.00,?,?,?,?,?,?,11.723,
105,0.79,15.09,31.0,6.6,,0.00,?,?,?,?,?,?,11.723,
106,0.77,15.34,31.0,6.6,,0.00,?,?,?,?,?,?,11.883,
107,0.78,15.57,31.0,6.6,,0.00,?,?,?,?,?,?,12.035,
108,0.78,14.83,31.0,7.1,,0.00,?,?,?,?,?,?,12.193,
