<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,19,12,C MALVAL,08/10/2024,15:10:31,972,Clermont 63 Ligne 2 passage 4,M         ,63L2P4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
70,0.61,12.98,31.0,6.0,,0.00,?,?,?,?,?,?,7.904,
71,0.60,14.70,31.0,6.0,,0.00,?,?,?,?,?,?,8.055,
72,0.55,12.32,31.0,5.9,,0.00,?,?,?,?,?,?,8.214,
73,0.55,17.52,31.0,5.9,,0.00,?,?,?,?,?,?,8.214,
74,0.52,14.62,31.0,5.9,,0.00,?,?,?,?,?,?,8.369,
75,0.69,13.87,31.0,5.9,,0.00,?,?,?,?,?,?,8.528,
76,0.78,17.51,31.0,5.9,,0.00,?,?,?,?,?,?,8.528,
77,0.81,15.11,31.0,6.1,,0.00,?,?,?,?,?,?,8.681,
78,0.96,8.92,31.5,6.1,,0.00,?,?,?,?,?,?,8.836,
79,0.77,19.82,31.0,6.1,,0.00,?,?,?,?,?,?,8.998,
80,0.82,7.63,31.0,6.1,,0.00,?,?,?,?,?,?,8.998,
81,0.88,16.25,31.0,6.0,,0.00,?,?,?,?,?,?,9.149,
82,0.72,16.28,31.0,6.0,,0.00,?,?,?,?,?,?,9.300,
83,0.82,13.48,31.0,6.0,,0.00,?,?,?,?,?,?,9.461,
84,0.79,16.04,31.0,6.0,,0.00,?,?,?,?,?,?,9.461,
