<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,18,12,C MALVAL,08/10/2024,15:33:04,968,Clermont 63 Ligne 2 passage 6,M         ,63L2P6
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.58,18.88,31.5,3.8,,0.00,?,?,?,?,?,?,0.084,
2,0.67,12.53,31.7,3.8,,0.00,?,?,?,?,?,?,0.243,
3,0.61,20.93,31.5,3.8,,0.00,?,?,?,?,?,?,0.243,
4,0.58,12.40,32.0,3.8,,0.00,?,?,?,?,?,?,0.408,
5,0.69,14.65,32.0,3.8,,0.00,?,?,?,?,?,?,0.573,
6,0.55,19.09,32.0,3.8,,0.00,?,?,?,?,?,?,0.737,
7,0.58,11.12,32.0,3.8,,0.00,?,?,?,?,?,?,0.737,
8,0.57,18.08,32.0,3.9,,0.00,?,?,?,?,?,?,0.899,
9,0.51,12.23,32.0,3.9,,0.00,?,?,?,?,?,?,1.062,
10,0.60,13.18,32.0,3.9,,0.00,?,?,?,?,?,?,1.062,
11,0.57,16.27,32.0,3.9,,0.00,?,?,?,?,?,?,1.221,
12,0.54,13.42,32.0,3.9,,0.00,?,?,?,?,?,?,1.221,
13,0.51,17.54,32.0,3.9,,0.00,?,?,?,?,?,?,1.385,
14,0.51,13.81,32.0,20.4,,0.00,?,?,?,?,?,?,1.548,
15,0.52,14.60,32.0,20.4,,0.00,?,?,?,?,?,?,1.707,
16,0.51,13.86,32.0,20.4,,0.00,?,?,?,?,?,?,1.707,
17,0.53,14.13,32.0,20.4,,0.00,?,?,?,?,?,?,1.859,
18,0.55,15.13,32.0,33.1,,0.00,?,?,?,?,?,?,2.023,
19,0.52,16.81,32.0,33.1,,0.00,?,?,?,?,?,?,2.175,
20,0.54,14.99,32.0,33.1,,0.00,?,?,?,?,?,?,2.175,
21,0.56,15.62,32.0,33.1,,0.00,?,?,?,?,?,?,2.342,
22,0.51,15.50,32.0,33.1,,0.00,?,?,?,?,?,?,2.342,
23,0.53,14.54,32.0,39.0,,0.00,?,?,?,?,?,?,2.502,
24,0.54,15.31,32.0,39.0,,0.00,?,?,?,?,?,?,2.658,
25,0.55,14.70,32.0,39.0,,0.00,?,?,?,?,?,?,2.814,
26,0.52,15.43,32.0,39.0,,0.00,?,?,?,?,?,?,2.814,
27,0.55,14.08,32.0,39.0,,0.00,?,?,?,?,?,?,2.976,
28,0.55,14.60,32.0,43.2,,0.00,?,?,?,?,?,?,3.139,
29,0.54,13.77,32.0,43.2,,0.00,?,?,?,?,?,?,3.301,
30,0.55,14.28,32.0,43.2,,0.00,?,?,?,?,?,?,3.301,
31,0.55,14.67,31.7,43.2,,0.00,?,?,?,?,?,?,3.453,
32,0.52,15.62,31.5,40.4,,0.00,?,?,?,?,?,?,3.613,
33,0.53,15.40,31.3,40.4,,0.00,?,?,?,?,?,?,3.613,
34,0.53,13.86,31.5,40.4,,0.00,?,?,?,?,?,?,3.766,
35,0.58,15.29,31.3,40.4,,0.00,?,?,?,?,?,?,3.926,
36,0.56,14.55,31.0,40.4,,0.00,?,?,?,?,?,?,3.926,
37,0.54,15.44,31.3,34.9,,0.00,?,?,?,?,?,?,4.077,
38,0.52,15.38,31.0,34.9,,0.00,?,?,?,?,?,?,4.234,
39,0.55,14.15,31.0,34.9,,0.00,?,?,?,?,?,?,4.396,
40,0.56,14.89,31.0,34.9,,0.00,?,?,?,?,?,?,4.396,
41,0.54,13.33,31.5,25.7,,0.00,?,?,?,?,?,?,4.548,
42,0.56,14.47,31.0,25.7,,0.00,?,?,?,?,?,?,4.708,
