;L3 LYON 11° Passage
10;85
20;79
30;80
40;81
50;71
60;62;START
70;58
80;57
90;56
100;54
110;53
120;67
130;53
140;39
150;39
160;17
170;15
180;15
190;15
200;45
210;67
220;66
230;69
240;72
250;71
260;65
270;65
280;66
290;70
300;71
310;77
320;64
330;29
340;41
350;44
360;40
370;52
380;50
390;45
400;42
410;62
420;79
430;70
440;73
450;76
460;75
470;71
480;74
490;51
500;35
510;35
520;34
530;32
540;31
550;33
560;29
570;57
580;78
590;81
600;76
610;75
620;80
630;83
640;82
650;76
660;74
670;77
680;78
690;81
700;52
