;L3 LYON 10° Passage
10;86
20;82
30;79
40;82
50;75
60;62;START
70;61
80;56
90;58
100;56
110;60
120;55
130;55
140;57
150;61
160;37
170;15
180;14
190;16
200;17
210;70
220;71
230;68
240;70
250;69
260;66
270;65
280;66
290;62
300;68
310;74
320;70
330;43
340;36
350;33
360;37
370;50
380;56
390;55
400;49
410;42
420;77
430;75
440;72
450;75
460;75
470;71
480;75
490;75
500;35
510;36
520;35
530;36
540;33
550;35
560;31
570;30
580;78
590;80
600;77
610;74
620;79
630;81
640;80
650;75
660;76
670;78
680;76
690;78
700;78
710;69
