;L3 LYON 13° Passage
10;82
20;86
30;79
40;81
50;81
60;70;START
70;64
80;61
90;64
100;59
110;56
120;55
130;58
140;60
150;66
160;40
170;17
180;13
190;13
200;15
210;50
220;72
230;69
240;72
250;73
260;69
270;65
280;62
290;62
300;74
310;78
320;75
330;60
340;33
350;54
360;31
370;31
380;37
390;39
400;38
410;34
420;59
430;80
440;74
450;74
460;73
470;74
480;74
490;75
500;50
510;32
520;33
530;35
540;33
550;32
560;32
570;28
580;61
590;78
600;80
610;78
620;78
630;81
640;82
650;80
660;77
670;79
680;79
690;78
700;81
710;79
720;57
