;L3 LYON 9° Passage
10;79
20;85
30;83
40;85
50;77
60;62;START
70;60
80;54
90;58
100;56
110;57
120;55
130;58
140;59
150;51
160;31
170;14
180;13
190;17
200;16
210;66
220;70
230;66
240;73
250;70
260;64
270;64
280;64
290;64
300;71
310;74
320;71
330;46
340;37
350;30
360;31
370;39
380;46
390;54
400;55
410;47
420;76
430;80
440;77
450;76
460;73
470;76
480;76
490;70
500;38
510;37
520;38
530;38
540;35
550;34
560;33
570;31
580;71
590;79
600;81
610;75
620;76
630;79
640;81
650;82
660;83
670;77
680;74
690;75
700;78
710;53
