<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,18,12,C MALVAL,08/10/2024,16:55:22,949,GRIP MK2 CLERMOMT LIGNE 2 PASSAGE 3,M         ,63L2bisP3
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.63,16.43,32.0,2.2,,0.00,?,?,?,?,?,?,0.069,
2,0.59,13.59,32.0,2.2,,0.00,?,?,?,?,?,?,0.235,
3,0.63,13.77,32.0,2.1,,0.00,?,?,?,?,?,?,0.395,
4,0.58,18.31,32.0,2.1,,0.00,?,?,?,?,?,?,0.395,
5,0.63,14.15,31.7,2.1,,0.00,?,?,?,?,?,?,0.558,
6,0.60,16.65,31.0,2.1,,0.00,?,?,?,?,?,?,0.710,
7,0.64,15.50,31.3,2.1,,0.00,?,?,?,?,?,?,0.876,
8,0.73,12.59,32.0,2.1,,0.00,?,?,?,?,?,?,0.876,
9,0.73,24.94,31.0,6.2,,0.00,?,?,?,?,?,?,1.036,
10,0.71,16.74,31.7,6.2,,0.00,?,?,?,?,?,?,1.199,
11,1.20,0.83,31.5,6.2,,0.00,?,?,?,?,?,?,1.199,
12,1.04,10.02,31.7,6.2,,0.00,?,?,?,?,?,?,1.351,
13,0.78,21.56,31.5,25.2,,0.00,?,?,?,?,?,?,1.519,
14,0.71,17.00,31.7,25.2,,0.00,?,?,?,?,?,?,1.519,
15,0.91,9.34,32.0,25.2,,0.00,?,?,?,?,?,?,1.681,
16,0.78,18.39,32.0,25.2,,0.00,?,?,?,?,?,?,1.833,
17,0.67,12.42,32.0,25.2,,0.00,?,?,?,?,?,?,1.833,
18,0.80,12.78,32.0,34.6,,0.00,?,?,?,?,?,?,1.986,
19,0.69,18.88,31.5,34.6,,0.00,?,?,?,?,?,?,2.151,
20,0.86,6.78,32.0,34.6,,0.00,?,?,?,?,?,?,2.303,
21,0.83,17.31,32.0,34.6,,0.00,?,?,?,?,?,?,2.303,
22,0.67,17.02,31.7,40.9,,0.00,?,?,?,?,?,?,2.462,
23,0.80,9.93,31.5,40.9,,0.00,?,?,?,?,?,?,2.624,
24,0.75,17.72,31.3,40.9,,0.00,?,?,?,?,?,?,2.624,
25,0.71,12.69,31.0,40.9,,0.00,?,?,?,?,?,?,2.787,
26,0.78,14.77,31.0,45.6,,0.00,?,?,?,?,?,?,2.953,
27,0.69,16.94,31.0,45.6,,0.00,?,?,?,?,?,?,2.953,
28,0.76,10.33,31.0,45.6,,0.00,?,?,?,?,?,?,3.117,
29,0.76,17.21,31.0,45.6,,0.00,?,?,?,?,?,?,3.279,
30,0.70,14.90,31.0,44.9,,0.00,?,?,?,?,?,?,3.444,
31,0.84,11.74,31.0,44.9,,0.00,?,?,?,?,?,?,3.444,
32,0.77,18.32,31.0,44.9,,0.00,?,?,?,?,?,?,3.598,
33,0.75,11.66,31.0,44.9,,0.00,?,?,?,?,?,?,3.762,
34,0.80,16.35,31.0,44.9,,0.00,?,?,?,?,?,?,3.929,
35,0.69,15.09,31.0,44.9,,0.00,?,?,?,?,?,?,3.929,
36,0.79,11.51,31.0,38.0,,0.00,?,?,?,?,?,?,4.091,
37,0.78,16.72,31.0,38.0,,0.00,?,?,?,?,?,?,4.091,
38,0.78,14.51,31.0,38.0,,0.00,?,?,?,?,?,?,4.256,
39,0.76,14.77,31.0,38.0,,0.00,?,?,?,?,?,?,4.412,
40,0.75,13.32,31.0,30.5,,0.00,?,?,?,?,?,?,4.572,
41,0.75,14.43,31.0,30.5,,0.00,?,?,?,?,?,?,4.572,
42,0.74,16.85,31.0,30.5,,0.00,?,?,?,?,?,?,4.723,
43,0.75,14.88,31.0,30.5,,0.00,?,?,?,?,?,?,4.881,
44,0.74,15.97,31.0,30.5,,0.00,?,?,?,?,?,?,4.881,
45,0.74,13.06,31.0,18.5,,0.00,?,?,?,?,?,?,5.044,
46,0.74,15.75,31.0,18.5,,0.00,?,?,?,?,?,?,5.195,
47,0.77,13.94,31.0,18.5,,0.00,?,?,?,?,?,?,5.358,
48,0.74,13.86,31.0,18.5,,0.00,?,?,?,?,?,?,5.358,
49,0.72,17.26,31.0,8.6,,0.00,?,?,?,?,?,?,5.512,
50,0.71,17.43,31.0,8.6,,0.00,?,?,?,?,?,?,5.676,
51,0.77,14.36,31.0,8.6,,0.00,?,?,?,?,?,?,5.833,
52,0.81,14.40,31.0,8.6,,0.00,?,?,?,?,?,?,5.833,
53,0.79,14.08,31.0,8.6,,0.00,?,?,?,?,?,?,5.986,
54,0.84,12.81,31.0,6.4,,0.00,?,?,?,?,?,?,6.138,
55,0.79,16.98,31.0,6.4,,0.00,?,?,?,?,?,?,6.289,
56,0.81,12.27,31.0,6.4,,0.00,?,?,?,?,?,?,6.289,
57,0.80,15.81,31.0,6.4,,0.00,?,?,?,?,?,?,6.454,
58,0.71,10.98,31.0,5.5,,0.00,?,?,?,?,?,?,6.606,
59,0.80,14.87,31.0,5.5,,0.00,?,?,?,?,?,?,6.757,
60,0.68,18.24,31.0,5.5,,0.00,?,?,?,?,?,?,6.757,
61,0.70,13.40,31.0,5.5,,0.00,?,?,?,?,?,?,6.924,
62,0.75,14.60,31.0,5.5,,0.00,?,?,?,?,?,?,6.924,
63,0.71,16.17,31.0,5.6,,0.00,?,?,?,?,?,?,7.083,START@63.0m
64,0.62,14.67,31.0,5.6,,0.00,?,?,?,?,?,?,7.235,
65,0.59,13.86,31.0,5.6,,0.00,?,?,?,?,?,?,7.395,
66,0.59,15.60,31.0,5.6,,0.00,?,?,?,?,?,?,7.395,
67,0.61,14.21,31.0,5.6,,0.00,?,?,?,?,?,?,7.558,
68,0.61,15.94,31.0,5.4,,0.00,?,?,?,?,?,?,7.710,
69,0.59,14.64,31.0,5.4,,0.00,?,?,?,?,?,?,7.871,
70,0.59,15.11,31.0,5.4,,0.00,?,?,?,?,?,?,7.871,
71,0.56,15.04,31.0,5.4,,0.00,?,?,?,?,?,?,8.037,
72,0.58,14.84,31.0,5.4,,0.00,?,?,?,?,?,?,8.198,
73,0.57,15.77,31.0,5.4,,0.00,?,?,?,?,?,?,8.198,
74,0.57,15.91,31.0,5.4,,0.00,?,?,?,?,?,?,8.349,
75,0.55,14.69,31.0,5.4,,0.00,?,?,?,?,?,?,8.510,
76,0.53,13.43,31.0,5.2,,0.00,?,?,?,?,?,?,8.661,
77,0.52,14.55,31.0,5.2,,0.00,?,?,?,?,?,?,8.661,
78,0.51,15.24,31.0,5.2,,0.00,?,?,?,?,?,?,8.823,
79,0.52,17.07,31.0,5.2,,0.00,?,?,?,?,?,?,8.974,
80,0.52,13.97,31.0,5.4,,0.00,?,?,?,?,?,?,9.127,
81,0.51,15.94,31.0,5.4,,0.00,?,?,?,?,?,?,9.127,
82,0.50,15.11,31.0,5.4,,0.00,?,?,?,?,?,?,9.292,
83,0.53,17.92,31.5,5.4,,0.00,?,?,?,?,?,?,9.444,
84,0.65,12.53,31.3,5.4,,0.00,?,?,?,?,?,?,9.599,
85,0.69,17.24,31.0,5.4,,0.00,?,?,?,?,?,?,9.599,
86,0.54,18.45,31.0,5.4,,0.00,?,?,?,?,?,?,9.757,
87,0.76,5.26,31.0,5.4,,0.00,?,?,?,?,?,?,9.923,
88,0.58,20.73,31.0,5.4,,0.00,?,?,?,?,?,?,9.923,
