<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,0,0,C MALVAL,08/10/2024,16:37:13,951,GRIP MK2 CLERMOMT LIGNE 2 PASSAGE 1,M         ,63L2bisP1
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.62,22.79,31.3,1.8,,0.00,?,?,?,?,?,?,0.128,
2,1.01,3.81,31.0,1.6,,0.00,?,?,?,?,?,?,0.287,
3,0.76,17.54,31.3,1.6,,0.00,?,?,?,?,?,?,0.444,
4,0.54,21.93,31.5,1.6,,0.00,?,?,?,?,?,?,0.444,
5,1.10,3.05,31.0,1.6,,0.00,?,?,?,?,?,?,0.597,
6,0.91,21.39,30.5,1.6,,0.00,?,?,?,?,?,?,0.753,
7,0.81,22.48,31.0,1.6,,0.00,?,?,?,?,?,?,0.753,
8,1.20,1.56,31.0,1.6,,0.00,?,?,?,?,?,?,0.914,
9,1.20,0.41,31.3,1.6,,0.00,?,?,?,?,?,?,1.065,
10,1.20,2.30,32.0,1.6,,0.00,?,?,?,?,?,?,1.065,
11,0.87,26.94,31.3,1.6,,0.00,?,?,?,?,?,?,1.228,
12,0.72,15.13,31.0,4.5,,0.00,?,?,?,?,?,?,1.381,
13,1.04,4.29,32.0,4.5,,0.00,?,?,?,?,?,?,1.545,
14,0.81,20.83,31.5,4.5,,0.00,?,?,?,?,?,?,1.545,
15,0.68,13.90,31.7,4.5,,0.00,?,?,?,?,?,?,1.707,
16,0.82,14.87,31.5,12.7,,0.00,?,?,?,?,?,?,1.864,
17,0.76,17.18,32.0,12.7,,0.00,?,?,?,?,?,?,2.028,
18,0.78,13.62,32.0,12.7,,0.00,?,?,?,?,?,?,2.028,
19,0.77,15.26,31.7,12.7,,0.00,?,?,?,?,?,?,2.192,
20,0.76,14.72,31.0,10.9,,0.00,?,?,?,?,?,?,2.353,
21,0.78,15.16,31.7,10.9,,0.00,?,?,?,?,?,?,2.353,
22,0.72,16.77,31.5,10.9,,0.00,?,?,?,?,?,?,2.520,
23,0.78,12.96,31.3,10.9,,0.00,?,?,?,?,?,?,2.684,
24,0.76,19.46,31.5,10.9,,0.00,?,?,?,?,?,?,2.684,
25,0.74,12.42,31.7,10.5,,0.00,?,?,?,?,?,?,2.851,
26,0.82,15.13,31.5,10.5,,0.00,?,?,?,?,?,?,3.003,
27,0.72,18.31,32.0,10.5,,0.00,?,?,?,?,?,?,3.003,
28,0.80,11.21,32.0,10.5,,0.00,?,?,?,?,?,?,3.166,
29,0.79,19.34,31.5,10.5,,0.00,?,?,?,?,?,?,3.317,
