<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,18,12,C MALVAL,08/10/2024,17:11:28,954,GRIP MK2 CLERMOMT LIGNE 2 PASSAGE 4,M         ,63L2bisP4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.67,11.98,29.5,4.4,,0.00,?,?,?,?,?,?,0.035,
2,0.58,15.00,30.0,4.4,,0.00,?,?,?,?,?,?,0.191,
3,0.56,13.96,30.0,4.4,,0.00,?,?,?,?,?,?,0.191,
4,0.62,17.60,29.7,4.4,,0.00,?,?,?,?,?,?,0.349,
5,0.70,9.46,29.5,4.4,,0.00,?,?,?,?,?,?,0.513,
6,0.61,16.23,29.7,3.7,,0.00,?,?,?,?,?,?,0.665,
7,0.75,13.11,28.5,3.7,,0.00,?,?,?,?,?,?,0.665,
8,0.80,19.28,28.7,3.7,,0.00,?,?,?,?,?,?,0.817,
9,0.69,17.48,29.5,3.7,,0.00,?,?,?,?,?,?,0.969,
10,0.59,1.76,28.5,3.7,,0.00,?,?,?,?,?,?,0.969,
11,1.07,7.55,29.0,3.2,,0.00,?,?,?,?,?,?,1.296,
12,0.78,20.24,29.5,3.2,,0.00,?,?,?,?,?,?,1.296,
13,0.75,16.14,28.7,3.2,,0.00,?,?,?,?,?,?,1.458,
14,0.88,7.16,30.0,3.2,,0.00,?,?,?,?,?,?,1.610,
15,0.80,20.26,28.7,19.6,,0.00,?,?,?,?,?,?,1.770,
16,0.72,12.84,29.0,19.6,,0.00,?,?,?,?,?,?,1.770,
17,1.07,6.62,30.7,19.6,,0.00,?,?,?,?,?,?,1.934,
