<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,18,12,C MALVAL,08/10/2024,17:18:12,954,GRIP MK2 CLERMOMT LIGNE 2 PASSAGE 5,M         ,63L2bisP5
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.55,16.23,32.0,2.7,,0.00,?,?,?,?,?,?,0.132,
2,0.59,16.94,31.0,2.7,,0.00,?,?,?,?,?,?,0.293,
3,0.58,13.92,31.7,2.7,,0.00,?,?,?,?,?,?,0.293,
4,0.53,18.24,32.0,2.7,,0.00,?,?,?,?,?,?,0.457,
5,0.69,13.53,31.0,2.7,,0.00,?,?,?,?,?,?,0.621,
6,0.74,16.33,31.0,2.7,,0.00,?,?,?,?,?,?,0.621,
7,0.75,28.09,31.0,2.8,,0.00,?,?,?,?,?,?,0.782,
8,0.93,8.70,31.3,2.8,,0.00,?,?,?,?,?,?,0.934,
9,0.56,0.39,32.0,2.8,,0.00,?,?,?,?,?,?,0.934,
10,1.19,3.80,35.0,2.8,,0.00,?,?,?,?,?,?,1.095,
11,0.50,18.63,34.5,2.8,,0.00,?,?,?,?,?,?,1.247,
12,0.40,34.59,31.3,2.8,,0.00,?,?,?,?,?,?,1.401,
13,0.88,7.51,31.5,2.8,,0.00,?,?,?,?,?,?,1.401,
14,0.43,0.07,31.3,2.8,,0.00,?,?,?,?,?,?,1.564,
15,0.63,0.02,31.5,2.8,,0.00,?,?,?,?,?,?,1.716,
16,1.20,0.60,31.7,2.8,,0.00,?,?,?,?,?,?,1.716,
17,1.20,1.71,32.5,21.7,,0.00,?,?,?,?,?,?,1.880,
18,0.87,27.01,33.0,21.7,,0.00,?,?,?,?,?,?,2.044,
19,0.78,19.07,31.0,21.7,,0.00,?,?,?,?,?,?,2.044,
20,1.13,2.49,32.0,21.7,,0.00,?,?,?,?,?,?,2.201,
21,0.94,11.91,32.5,31.4,,0.00,?,?,?,?,?,?,2.366,
22,0.73,24.14,31.7,31.4,,0.00,?,?,?,?,?,?,2.517,
23,0.74,8.41,31.5,31.4,,0.00,?,?,?,?,?,?,2.517,
24,0.99,8.07,31.7,31.4,,0.00,?,?,?,?,?,?,2.677,
25,0.72,22.47,31.5,38.1,,0.00,?,?,?,?,?,?,2.839,
26,0.79,9.73,31.7,38.1,,0.00,?,?,?,?,?,?,2.839,
27,0.83,16.06,31.5,38.1,,0.00,?,?,?,?,?,?,3.001,
28,0.69,15.93,31.0,38.1,,0.00,?,?,?,?,?,?,3.154,
29,0.79,10.66,31.5,33.7,,0.00,?,?,?,?,?,?,3.309,
30,0.74,18.37,31.3,33.7,,0.00,?,?,?,?,?,?,3.309,
31,0.72,12.64,31.5,33.7,,0.00,?,?,?,?,?,?,3.470,
32,0.76,14.67,31.0,33.7,,0.00,?,?,?,?,?,?,3.621,
33,0.73,13.40,31.0,33.7,,0.00,?,?,?,?,?,?,3.621,
34,0.72,14.43,31.3,24.4,,0.00,?,?,?,?,?,?,3.773,
35,0.76,12.96,31.5,24.4,,0.00,?,?,?,?,?,?,3.926,
36,0.73,16.20,31.3,24.4,,0.00,?,?,?,?,?,?,4.092,
